# Sensor Silva.D6.Ex, Ñuñoa, Chile (Purple Air/115283)
# https://aqicn.org/station/@375946/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-03-24T00:00:00.000Z,4.6,36.9,22.5,12.35,29.25,9.523,241
2023-03-25T00:00:00.000Z,13.1,51.8,26.7,23.6,30.5,4.963,659
2023-03-26T00:00:00.000Z,8.3,55,25.8,18.8,30.6,8.242,658
2023-03-27T00:00:00.000Z,11.7,43.9,22.5,17.9,27.65,7.322,629
2023-03-28T00:00:00.000Z,6.4,49.7,29.4,24.7,35.9,10.561,658
2023-03-29T00:00:00.000Z,0.1,43.4,7.5,4,19.25,10.461,637
2023-03-30T00:00:00.000Z,0,43.9,16.35,3.8,26.5,12.453,620
2023-03-31T00:00:00.000Z,1,34.9,9.19,5.8,19.39,9.228,659
2023-04-01T00:00:00.000Z,1.6,36.1,9.69,7.1,17.7,7.818,649
2023-04-02T00:00:00.000Z,4.4,45.9,23.2,15.6,30,9.481,662
2023-04-03T00:00:00.000Z,4.2,42.1,13,8.9,20.2,8.176,664
2023-04-04T00:00:00.000Z,3.8,49.1,20.2,15.6,27.1,10.535,642
2023-04-05T00:00:00.000Z,4.6,39.1,13.3,9,21,8.041,643
2023-04-06T00:00:00.000Z,2.3,45.1,8.3,4.9,19,9.709,659
2023-04-07T00:00:00.000Z,1.6,476.9,17.4,10,29.3,28.417,631
2023-04-08T00:00:00.000Z,2,50.9,11.8,7.4,19.5,7.597,655
2023-04-09T00:00:00.000Z,10,379.2,23.5,16.9,29.3,28.742,667
2023-04-10T00:00:00.000Z,8.7,384,23.2,20,28.3,21.637,638
2023-04-11T00:00:00.000Z,2.6,46.8,27.55,22.95,32.15,10.604,656
2023-04-12T00:00:00.000Z,0,35.2,7.3,4.45,20.14,9.721,653
2023-04-13T00:00:00.000Z,0,41.2,7,3.35,23.4,11.642,660
2023-04-14T00:00:00.000Z,0.2,37.4,24,3.6,29,12.507,657
2023-04-15T00:00:00.000Z,14.6,55,34.7,21.8,43.4,11.911,662
2023-04-16T00:00:00.000Z,14.4,59,39.9,30.8,44.9,8.713,673
2023-04-17T00:00:00.000Z,6.9,47.5,30.9,17,36.8,10.78,670
2023-04-18T00:00:00.000Z,7.6,135.5,26.5,19.6,37,12.121,663
2023-04-19T00:00:00.000Z,0.1,51.7,29.1,21.6,33.9,10.99,660
2023-04-20T00:00:00.000Z,4.7,70.2,19.25,12.3,27.2,10.502,630
2023-04-21T00:00:00.000Z,3.8,43.7,27.95,16.7,37,11.88,658
2023-04-22T00:00:00.000Z,13.8,71.3,43.2,35.3,47.6,9.792,662
2023-04-23T00:00:00.000Z,25.4,138.9,37,32.8,41.2,9.753,660
2023-04-24T00:00:00.000Z,28.7,3331.5,41.6,35.2,1679.1,1345.57,671
2023-04-25T00:00:00.000Z,22.5,3331.9,35.6,30.3,1679.75,1410.29,668
2023-04-26T00:00:00.000Z,26.5,3331.4,40.1,32.6,47.45,1210.03,661
2023-04-27T00:00:00.000Z,41.3,3330.4,1693.4,1689.8,1699.8,699.488,660
2023-04-28T00:00:00.000Z,6.2,1702.4,1691.2,1689,1695.8,569.068,667
2023-04-29T00:00:00.000Z,0,36,24.8,17.9,29.4,10.125,654
2023-04-30T00:00:00.000Z,0,33.2,0.7,0.2,2.9,4.072,381
2023-05-01T00:00:00.000Z,4.1,50.8,24.2,17.3,30.6,9.119,639
2023-05-02T00:00:00.000Z,8.5,1659.3,33.79,29.85,41.35,110.207,649
2023-05-03T00:00:00.000Z,34,3330,41.6,39,1623.1,839.24,657
2023-05-04T00:00:00.000Z,40.4,1712.1,1690,1641.4,1696.85,559.209,665
2023-05-05T00:00:00.000Z,1635.3,3330.5,1698.75,1691.3,1707.05,400.122,656
2023-05-06T00:00:00.000Z,1642.6,1721.1,1695.1,1688.7,1701.5,17.041,684
2023-05-07T00:00:00.000Z,1599.1,3331.5,1704.8,1666.65,1715.35,633.182,673
2023-05-15T00:00:00.000Z,31.2,1694.7,1688,44.2,1689.7,768.787,654
2023-05-16T00:00:00.000Z,18,3331.8,1695.9,1692.35,3325.4,905.592,653
2023-05-17T00:00:00.000Z,4,3330.2,21.1,13.85,24.55,287.524,640
2023-05-18T00:00:00.000Z,16.4,3331.2,33.15,24.5,3325.5,1476.75,650
2023-05-19T00:00:00.000Z,25.1,3331.6,40.6,31.1,3325.1,1450.38,631
2023-05-20T00:00:00.000Z,35.3,3332,1691.1,45.25,3325.6,1238.38,668
2023-05-21T00:00:00.000Z,41.9,1709.1,1691.2,1688.6,1698.8,237.539,662
2023-05-22T00:00:00.000Z,0.9,1698.9,29.6,19.8,1686.1,731.723,663
2023-05-23T00:00:00.000Z,15.3,1704.8,50.25,37.15,1690.3,827.275,564
2023-05-24T00:00:00.000Z,19.3,1695.6,38.29,34.79,43.6,438.886,641
2023-05-25T00:00:00.000Z,0,1705.1,1691.7,1689.1,1694.8,630.651,620
2023-05-26T00:00:00.000Z,0,3331.8,34.9,31.1,42.2,1046.56,654
2023-05-27T00:00:00.000Z,34.3,3331.8,1688.6,43.4,1691.3,1205.99,653
2023-05-28T00:00:00.000Z,37.6,3364.8,1701.5,1686.7,1707.4,677.12,673
2023-05-29T00:00:00.000Z,1689.8,3332.4,1715.55,1710.45,3326.4,771.548,668
2023-05-30T00:00:00.000Z,1684.1,3331.9,1697.65,1692.35,1738.6,688.138,664
2023-05-31T00:00:00.000Z,1682.5,3331.6,1706.95,1696.2,3326.75,781.291,664
2023-06-01T00:00:00.000Z,1681.3,3331.9,1699.25,1690,3326.95,808.627,672
2023-06-02T00:00:00.000Z,32.3,3332.4,1689.9,1685.5,3326.5,861.596,663
2023-06-03T00:00:00.000Z,1677.8,3332.1,1691.8,1688.9,3327.3,782.125,641
2023-06-04T00:00:00.000Z,1683.4,3331.9,3327.4,3325.7,3329.1,410.923,671
2023-06-05T00:00:00.000Z,1680.7,3331.4,3325.6,1686.3,3327.9,799.393,661
2023-06-06T00:00:00.000Z,34.4,3332.2,1688.1,1683.85,3325.45,880.989,533