# Sensor Teresa.ex.SR17, San Joaquín, Chile (Purple Air/147460)
# https://aqicn.org/station/@363919/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-11-22T00:00:00.000Z,4,26.4,6.65,5.8,7.9,3.172,264
2022-11-23T00:00:00.000Z,3.7,37.2,9.6,7.3,14.8,6.175,666
2022-11-24T00:00:00.000Z,5.3,25.2,11.1,8.5,13.3,4.351,522
2022-11-25T00:00:00.000Z,4.8,54.2,11.4,8.7,15.95,6.978,653
2022-11-26T00:00:00.000Z,6.2,32.3,12.95,9.3,15.7,5.593,630
2022-11-27T00:00:00.000Z,8.4,36.9,13.9,11.4,18.89,5.2,651
2022-11-28T00:00:00.000Z,7.2,33.9,17.5,11.3,24.05,7.376,656
2022-11-29T00:00:00.000Z,6.6,40.9,16.4,11.2,24,8.403,678
2022-11-30T00:00:00.000Z,9.3,34.7,14.6,12.4,20.95,6.347,668
2022-12-01T00:00:00.000Z,5.1,31.2,11.5,9.3,15.2,6.216,609
2022-12-02T00:00:00.000Z,4.3,34.4,7.8,6.2,18.5,8.377,643
2022-12-03T00:00:00.000Z,4.3,24.5,9.1,6.6,11.95,4.011,649
2022-12-04T00:00:00.000Z,2.8,16.6,8.2,7.2,9.5,2.446,664
2022-12-05T00:00:00.000Z,2.6,18.3,6.7,4.5,10.1,3.635,632
2022-12-06T00:00:00.000Z,2.4,20.2,6.1,4,10.2,3.83,633
2022-12-07T00:00:00.000Z,2.3,32.4,8,6.4,14.6,6.526,645
2022-12-08T00:00:00.000Z,1.6,44.6,7.05,3.4,24.6,12.656,638
2022-12-09T00:00:00.000Z,1,19.3,4.09,2.29,9.1,4.333,638
2022-12-10T00:00:00.000Z,1.3,20.6,5.5,2.4,8.1,3.447,646
2022-12-11T00:00:00.000Z,1.5,18,7.6,4.25,10.2,3.519,660
2022-12-12T00:00:00.000Z,5.1,36,16,11.25,21.6,6.464,669
2022-12-13T00:00:00.000Z,1.9,22,6.5,5.3,10.8,3.885,639
2022-12-14T00:00:00.000Z,1.8,29.1,6,4.2,9.7,5.456,639
2022-12-15T00:00:00.000Z,4.8,29.7,9.2,8.15,17.4,6.118,413
2023-01-19T00:00:00.000Z,15.5,18.7,17.14,16.6,17.6,0.759,16