date, pm25, pm10
2023/11/2, 15, 9
2023/11/3, 18, 15
2023/11/4, 16, 18
2023/11/5, 28, 16
2023/11/6, 25, 17
2023/11/7, 22, 15
2023/11/8, 22, 20
2023/11/9, 23, 26
2023/11/10, 31, 6
2023/11/11, 14, 11
2023/11/12, 18, 10
2023/11/13, 18, 16
2023/11/14, 19, 23
2023/11/15, 26, 
2023/10/2, 25, 11
2023/10/3, 22, 12
2023/10/4, 21, 11
2023/10/5, 17, 12
2023/10/6, 21, 12
2023/10/7, 19, 16
2023/10/8, 19, 16
2023/10/9, 23, 14
2023/10/10, 18, 17
2023/10/11, 23, 14
2023/10/12, 23, 15
2023/10/13, 18, 16
2023/10/14, 23, 16
2023/10/15, 25, 17
2023/10/16, 22, 18
2023/10/17, 25, 18
2023/10/18, 26, 15
2023/10/19, 25, 22
2023/10/20, 31, 24
2023/10/21, 45, 29
2023/10/22, 45, 23
2023/10/23, 35, 12
2023/10/24, 28, 18
2023/10/25, 27, 17
2023/10/26, 25, 19
2023/10/27, 25, 19
2023/10/28, 36, 15
2023/10/29, 25, 13
2023/10/30, 24, 16
2023/10/31, 19, 18
2023/11/1, 18, 12
2023/7/2, 15, 17
2023/7/3, 13, 18
2023/7/4, 13, 19
2023/7/5, 15, 20
2023/7/6, 13, 21
2023/7/7, 14, 18
2023/7/8, 14, 15
2023/7/9, 15, 17
2023/7/10, 15, 13
2023/7/11, 14, 21
2023/7/12, 17, 5
2023/7/13, 8, 17
2023/7/14, 11, 22
2023/7/15, 10, 37
2023/7/16, 11, 18
2023/7/17, 10, 29
2023/7/18, 12, 25
2023/7/19, 11, 21
2023/7/20, 10, 30
2023/7/21, 15, 15
2023/7/22, 15, 11
2023/7/23, 14, 13
2023/7/24, 14, 13
2023/7/25, 14, 12
2023/7/26, 13, 17
2023/7/27, 11, 17
2023/7/28, 15, 17
2023/7/29, 12, 18
2023/7/30, 12, 15
2023/7/31, 13, 15
2023/8/1, 14, 19
2023/8/2, 16, 18
2023/8/3, 22, 23
2023/8/4, 26, 23
2023/8/5, 22, 14
2023/8/6, 23, 14
2023/8/7, 19, 18
2023/8/8, 18, 20
2023/8/9, 22, 18
2023/8/10, 16, 16
2023/8/11, 27, 12
2023/8/12, 17, 14
2023/8/13, 15, 21
2023/8/14, 15, 19
2023/8/15, 23, 14
2023/8/16, 24, 7
2023/8/17, 17, 10
2023/8/18, 23, 14
2023/8/19, 20, 10
2023/8/20, 20, 9
2023/8/21, 18, 11
2023/8/22, 24, 6
2023/8/23, 18, 8
2023/8/24, 23, 7
2023/8/25, 16, 10
2023/8/26, 19, 16
2023/8/27, 26, 16
2023/8/28, 33, 15
2023/8/29, 32, 16
2023/8/30, 29, 17
2023/8/31, 23, 17
2023/9/1, 23, 20
2023/9/2, 35, 18
2023/9/3, 35, 13
2023/9/4, 23, 11
2023/9/5, 23, 16
2023/9/6, 22, 11
2023/9/7, 23, 8
2023/9/8, 14, 12
2023/9/9, 19, 10
2023/9/10, 19, 7
2023/9/11, 15, 7
2023/9/12, 14, 10
2023/9/13, 17, 19
2023/9/14, 23, 19
2023/9/15, 15, 18
2023/9/16, 20, 19
2023/9/17, 18, 8
2023/9/18, 16, 11
2023/9/19, 18, 16
2023/9/20, 22, 17
2023/9/21, 27, 20
2023/9/22, 37, 24
2023/9/23, 26, 17
2023/9/24, 18, 12
2023/9/25, 14, 17
2023/9/26, 21, 13
2023/9/27, 14, 16
2023/9/28, 22, 20
2023/9/29, 29, 20
2023/9/30, 23, 16
2023/10/1, 25, 18
2023/4/2, 25, 27
2023/4/3, 30, 22
2023/4/4, 29, 30
2023/4/5, 28, 26
2023/4/6, 27, 26
2023/4/7, 21, 21
2023/4/8, 24, 20
2023/4/9, 24, 21
2023/4/10, 28, 23
2023/4/11, 22, 22
2023/4/12, 23, 18
2023/4/13, 20, 22
2023/4/14, 14, 19
2023/4/15, 19, 25
2023/4/16, 18, 11
2023/4/17, 26, 27
2023/4/18, 24, 19
2023/4/19, 17, 27
2023/4/20, 13, 34
2023/4/21, 16, 21
2023/4/22, 28, 23
2023/4/23, 18, 18
2023/4/24, 19, 15
2023/4/25, 18, 19
2023/4/26, 16, 23
2023/4/27, 16, 23
2023/4/28, 20, 25
2023/4/29, 17, 10
2023/4/30, 15, 7
2023/5/1, 10, 13
2023/5/2, 14, 15
2023/5/3, 12, 20
2023/5/4, 20, 27
2023/5/5, 20, 22
2023/5/6, 21, 28
2023/5/7, 26, 30
2023/5/8, 13, 26
2023/5/9, 12, 27
2023/5/10, 18, 16
2023/5/11, 13, 20
2023/5/12, 16, 27
2023/5/13, 22, 27
2023/5/14, 20, 32
2023/5/15, 22, 21
2023/5/16, 25, 18
2023/5/17, 20, 10
2023/5/18, 13, 20
2023/5/19, 20, 16
2023/5/20, 20, 18
2023/5/21, 25, 22
2023/5/22, 29, 31
2023/5/23, 29, 21
2023/5/24, 22, 19
2023/5/25, 23, 22
2023/5/26, 22, 12
2023/5/27, 17, 22
2023/5/28, 28, 17
2023/5/29, 23, 27
2023/5/30, 43, 23
2023/5/31, 34, 14
2023/6/1, 15, 15
2023/6/2, 16, 17
2023/6/3, 19, 30
2023/6/4, 24, 14
2023/6/5, 13, 18
2023/6/6, 15, 21
2023/6/7, 20, 17
2023/6/8, 17, 20
2023/6/9, 20, 19
2023/6/10, 20, 5
2023/6/11, 11, 18
2023/6/12, 15, 21
2023/6/13, 19, 15
2023/6/14, 12, 28
2023/6/15, 16, 24
2023/6/16, 16, 21
2023/6/17, 15, 18
2023/6/18, 14, 28
2023/6/19, 21, 22
2023/6/20, 29, 30
2023/6/21, 25, 39
2023/6/22, 24, 10
2023/6/23, 13, 4
2023/6/24, 10, 6
2023/6/25, 12, 14
2023/6/26, 9, 12
2023/6/27, 22, 9
2023/6/28, 20, 22
2023/6/29, 11, 13
2023/6/30, 11, 15
2023/7/1, 10, 22
2023/2/14, 50, 30
2023/2/15, 42, 31
2023/2/16, 40, 29
2023/2/17, 40, 25
2023/2/18, 30, 21
2023/2/19, 29, 18
2023/2/20, 24, 25
2023/2/21, 26, 23
2023/2/22, 33, 27
2023/2/23, 42, 25
2023/2/24, 30, 22
2023/2/25, 29, 18
2023/2/26, 28, 20
2023/2/27, 24, 24
2023/2/28, 24, 28
2023/3/1, 34, 26
2023/3/2, 34, 32
2023/3/3, 38, 26
2023/3/4, 33, 30
2023/3/5, 29, 23
2023/3/6, 26, 25
2023/3/7, 24, 26
2023/3/8, 16, 17
2023/3/9, 19, 19
2023/3/10, 23, 16
2023/3/11, 21, 19
2023/3/12, 15, 14
2023/3/13, 14, 15
2023/3/14, 15, 18
2023/3/15, 16, 20
2023/3/16, 16, 19
2023/3/17, 15, 16
2023/3/18, 16, 18
2023/3/19, 18, 20
2023/3/20, 24, 20
2023/3/21, 27, 20
2023/3/22, 26, 24
2023/3/23, 27, 28
2023/3/24, 31, 35
2023/3/25, 48, 29
2023/3/26, 31, 30
2023/3/27, 39, 33
2023/3/28, 47, 30
2023/3/29, 28, 27
2023/3/30, 34, 36
2023/3/31, 30, 27
2023/4/1, 20, 31
2023/2/13, , 31