date, pm25, pm10, o3, no2, so2
2023/11/2, 38, 24, 19, 9, 2
2023/11/3, 30, 37, 24, 12, 2
2023/11/4, 42, 55, 26, 4, 2
2023/11/5, 51, 25, 21, 8, 2
2023/11/6, 39, 17, 22, 6, 2
2023/11/7, 30, 35, 18, 5, 2
2023/11/8, 28, 51, 24, 7, 2
2023/11/9, 52, 41, 23, 5, 2
2023/11/10, 53, 23, 18, 8, 2
2023/11/11, 32, 17, 22, 10, 2
2023/11/12, 29, 26, 20, 6, 2
2023/11/13, 34, 45, 20, 5, 2
2023/11/14, 47, 35, 23, 7, 2
2023/11/15, 45, , , , 
2023/10/2, 44, 32, 21, 5, 2
2023/10/3, 47, 32, 20, 5, 2
2023/10/4, 37, 33, 21, 5, 2
2023/10/5, 36, 26, 20, 5, 2
2023/10/6, 43, 29, 19, 6, 2
2023/10/7, 30, 41, 18, 8, 3
2023/10/8, 49, 56, 20, 6, 2
2023/10/9, 64, 40, 22, 4, 2
2023/10/10, 56, 35, 19, 3, 2
2023/10/11, 42, 35, 21, 5, 2
2023/10/12, 40, 51, 21, 6, 2
2023/10/13, 57, 42, 21, 6, 2
2023/10/14, 58, 35, 22, 5, 2
2023/10/15, 46, 40, 21, 5, 2
2023/10/16, 50, 41, 19, 8, 2
2023/10/17, 48, 37, 24, 8, 2
2023/10/18, 47, 31, 23, 5, 2
2023/10/19, 51, 39, 27, 6, 2
2023/10/20, 47, 36, 23, 5, 2
2023/10/21, 54, 38, 24, 3, 2
2023/10/22, 44, 39, 22, 6, 2
2023/10/23, 49, 35, 20, 6, 2
2023/10/24, 43, 37, 21, 7, 2
2023/10/25, 47, 42, 24, 5, 3
2023/10/26, 60, 34, 25, 4, 2
2023/10/27, 54, 30, 24, 4, 2
2023/10/28, 48, 32, 23, 5, 2
2023/10/29, 42, 31, 19, 4, 2
2023/10/30, 27, 30, 18, 9, 2
2023/10/31, 38, 32, 20, 9, 2
2023/11/1, 40, 23, 18, 9, 2
2023/7/2, 84, 28, 16, 6, 1
2023/7/3, 53, 46, 8, 9, 2
2023/7/4, 75, 38, 10, 9, 1
2023/7/5, 64, 32, 11, 10, 2
2023/7/6, 57, 33, 10, 9, 2
2023/7/7, 48, 29, 17, 7, 1
2023/7/8, 47, 35, 14, 9, 1
2023/7/9, 53, 42, 9, 10, 2
2023/7/10, 60, 28, 14, 5, 1
2023/7/11, 54, 11, 17, 4, 1
2023/7/12, 22, 14, 16, 5, 1
2023/7/13, 23, 34, 7, 10, 3
2023/7/14, 60, 46, 7, 10, 2
2023/7/15, 82, 51, 9, 9, 2
2023/7/16, 92, 58, 14, 8, 2
2023/7/17, 107, 47, 8, 11, 2
2023/7/18, 90, 56, 8, 15, 3
2023/7/19, 99, 43, 8, 15, 2
2023/7/20, 77, 24, 14, 6, 1
2023/7/21, 52, 14, 16, 3, 1
2023/7/22, 22, 19, 16, 4, 1
2023/7/23, 29, 35, 12, 5, 2
2023/7/24, 62, 40, 11, 9, 2
2023/7/25, 64, 39, 11, 10, 2
2023/7/26, 64, 39, 10, 9, 2
2023/7/27, 63, 47, 10, 9, 2
2023/7/28, 79, 52, 10, 11, 3
2023/7/29, 87, 46, 15, 8, 2
2023/7/30, 83, 28, 18, 6, 2
2023/7/31, 64, 21, 16, 5, 2
2023/8/1, 59, 43, 10, 10, 3
2023/8/2, 67, 49, 14, 9, 2
2023/8/3, 77, 41, 17, 11, 3
2023/8/4, 70, 30, 22, 10, 3
2023/8/5, 63, 17, 17, 4, 2
2023/8/6, 43, 20, 16, 7, 2
2023/8/7, 34, 29, 12, 9, 2
2023/8/8, 57, 38, 15, 10, 2
2023/8/9, 70, 32, 23, 7, 2
2023/8/10, 68, 17, 19, 3, 2
2023/8/11, 35, 37, 16, 7, 2
2023/8/12, 52, 50, 14, 9, 2
2023/8/13, 64, 48, 21, 7, 2
2023/8/14, 80, 28, 19, 5, 2
2023/8/15, 63, 15, 16, 2, 2
2023/8/16, 34, 21, 15, 4, 2
2023/8/17, 32, 27, 15, 6, 2
2023/8/18, 40, 28, 12, 7, 2
2023/8/19, 39, 23, 13, 5, 2
2023/8/20, 42, 25, 12, 3, 2
2023/8/21, 37, 13, 15, 3, 2
2023/8/22, 29, 15, 21, 1, 2
2023/8/23, 18, 15, 19, 5, 2
2023/8/24, 26, 28, 15, 7, 2
2023/8/25, 40, 30, 15, 7, 2
2023/8/26, 38, 43, 16, 9, 2
2023/8/27, 55, 38, 18, 9, 3
2023/8/28, 61, 32, 18, 9, 2
2023/8/29, 55, 49, 17, 9, 2
2023/8/30, 56, 50, 17, 8, 2
2023/8/31, 40, 49, 16, 7, 2
2023/9/1, 60, 58, 12, 9, 2
2023/9/2, 67, 40, 17, 6, 2
2023/9/3, 56, 29, 17, 8, 2
2023/9/4, 50, 32, 12, 11, 2
2023/9/5, 43, 23, 12, 11, 3
2023/9/6, 45, 16, 12, 9, 2
2023/9/7, 45, 34, 13, 10, 2
2023/9/8, 44, 47, 14, 10, 2
2023/9/9, 52, 29, 14, 9, 2
2023/9/10, 40, 38, 24, 10, 2
2023/9/11, 50, 29, 22, 3, 2
2023/9/12, 33, 40, 18, 7, 2
2023/9/13, 49, 36, 15, 9, 2
2023/9/14, 48, 47, 15, 8, 2
2023/9/15, 49, 42, 12, 7, 2
2023/9/16, 53, 18, 12, 5, 2
2023/9/17, 36, 49, 18, 7, 2
2023/9/18, 53, 49, 15, 8, 2
2023/9/19, 63, 49, 21, 8, 2
2023/9/20, 70, 26, 20, 3, 2
2023/9/21, 41, 33, 11, 9, 2
2023/9/22, 37, 32, 18, 10, 2
2023/9/23, 46, 32, 21, 9, 2
2023/9/24, 44, 29, 23, 5, 2
2023/9/25, 41, 19, 15, 7, 2
2023/9/26, 39, 46, 17, 5, 2
2023/9/27, 31, 36, 19, 6, 2
2023/9/28, 45, 35, 18, 6, 2
2023/9/29, 45, 37, 19, 6, 2
2023/9/30, 51, 27, 21, 3, 2
2023/10/1, 46, 24, 23, 4, 2
2023/4/2, 64, 54, 27, 6, 5
2023/4/3, 62, 39, 21, 7, 6
2023/4/4, 61, 43, 21, 5, 10
2023/4/5, 60, 28, 19, 8, 7
2023/4/6, 53, 36, 14, 8, 6
2023/4/7, 44, 24, 22, 5, 8
2023/4/8, 48, 34, 19, 4, 6
2023/4/9, 59, 41, 17, 7, 6
2023/4/10, 60, 35, 13, 6, 5
2023/4/11, 51, 12, 7, 7, 6
2023/4/12, 42, 10, 7, 7, 6
2023/4/13, 31, 20, 7, 7, 6
2023/4/14, 30, 21, 6, 6, 7
2023/4/15, 31, 34, 3, 7, 7
2023/4/16, 52, 41, 3, 6, 7
2023/4/17, 45, 41, 14, 7, 11
2023/4/18, 54, 46, 17, 7, 7
2023/4/19, 56, 48, 20, 8, 8
2023/4/20, 69, 23, 20, 1, 6
2023/4/21, 44, 26, 15, 7, 6
2023/4/22, 41, 27, 17, 5, 6
2023/4/23, 48, 27, 15, 6, 6
2023/4/24, 44, 16, 15, 7, 7
2023/4/25, 44, 20, 24, 6, 7
2023/4/26, 49, 29, 28, 4, 6
2023/4/27, 64, 27, 28, 2, 6
2023/4/28, 62, 21, 22, 1, 5
2023/4/29, 32, 16, 18, 1, 4
2023/4/30, 22, 27, 17, 4, 5
2023/5/1, 46, 32, 16, 4, 5
2023/5/2, 52, 33, 13, 7, 5
2023/5/3, 64, 27, 22, 7, 5
2023/5/4, 62, 28, 20, 6, 4
2023/5/5, 61, 37, 23, 7, 4
2023/5/6, 70, 38, 21, 7, 4
2023/5/7, 72, 41, 23, 7, 5
2023/5/8, 84, 35, 26, 7, 5
2023/5/9, 84, 35, 26, 10, 7
2023/5/10, 82, 49, 25, 7, 3
2023/5/11, 98, 46, 21, 12, 7
2023/5/12, 90, 65, 24, 16, 12
2023/5/13, 111, 64, 32, 5, 4
2023/5/14, 89, 30, 28, 3, 6
2023/5/15, 69, 19, 22, 9, 2
2023/5/16, 41, 41, 18, 13, 4
2023/5/17, 58, 31, 18, 11, 3
2023/5/18, 48, 39, 21, 11, 3
2023/5/19, 62, 47, 23, 11, 3
2023/5/20, 85, 48, 34, 9, 3
2023/5/21, 91, 28, 32, 3, 3
2023/5/22, 59, 18, 22, 6, 2
2023/5/23, 34, 28, 8, 11, 3
2023/5/24, 42, 40, 7, 13, 3
2023/5/25, 69, 44, 4, 15, 4
2023/5/26, 73, 36, 9, 11, 6
2023/5/27, 64, 35, 7, 15, 4
2023/5/28, 62, 35, 7, 12, 4
2023/5/29, 64, 35, 11, 13, 4
2023/5/30, 71, 33, 11, 13, 4
2023/5/31, 69, 46, 12, 14, 4
2023/6/1, 86, 39, 13, 10, 4
2023/6/2, 76, 25, 12, 9, 3
2023/6/3, 48, 34, 7, 10, 3
2023/6/4, 56, 44, 9, 9, 4
2023/6/5, 79, 43, 9, 10, 3
2023/6/6, 71, 41, 4, 10, 1
2023/6/7, 72, 44, 13, 7, 1
2023/6/8, 75, 21, 16, 5, 1
2023/6/9, 46, 20, 13, 7, 1
2023/6/10, 27, 25, 15, 6, 1
2023/6/11, 39, 29, 13, 7, 1
2023/6/12, 60, 38, 10, 12, 2
2023/6/13, 82, 37, 13, 12, 1
2023/6/14, 77, 49, 12, 17, 2
2023/6/15, 101, 52, 11, 18, 2
2023/6/16, 108, 50, 11, 15, 2
2023/6/17, 103, 39, 17, 12, 1
2023/6/18, 90, 23, 17, 5, 1
2023/6/19, 56, 24, 15, 12, 1
2023/6/20, 51, 22, 8, 12, 1
2023/6/21, 46, 26, 4, 15, 2
2023/6/22, 54, 19, 12, 9, 1
2023/6/23, 45, 31, 7, 11, 1
2023/6/24, 39, 37, 8, 12, 1
2023/6/25, 53, 28, 4, 9, 1
2023/6/26, 39, 34, 6, 9, 1
2023/6/27, 56, 40, 7, 11, 1
2023/6/28, 52, 42, 10, 10, 1
2023/6/29, 70, 52, 12, 15, 3
2023/6/30, 85, 60, 9, 17, 3
2023/7/1, 93, 45, 15, 8, 2
2023/2/14, 51, 47, 15, 10, 7
2023/2/15, 54, 48, 19, 6, 5
2023/2/16, 59, 28, 12, 5, 4
2023/2/17, 45, 44, 16, 10, 12
2023/2/18, 68, 47, 16, 9, 9
2023/2/19, 69, 36, 20, 8, 5
2023/2/20, 59, 44, 26, 7, 5
2023/2/21, 74, 36, 18, 4, 5
2023/2/22, 67, 35, 19, 7, 5
2023/2/23, 63, 39, 22, 7, 5
2023/2/24, 59, 28, 20, 8, 5
2023/2/25, 57, 27, 11, 7, 5
2023/2/26, 52, 36, 18, 6, 5
2023/2/27, 57, 42, 18, 6, 5
2023/2/28, 62, 30, 14, 9, 7
2023/3/1, 58, 34, 15, 8, 7
2023/3/2, 55, 51, 21, 7, 5
2023/3/3, 54, 31, 17, 6, 5
2023/3/4, 46, 31, 18, 7, 5
2023/3/5, 53, 36, 18, 4, 5
2023/3/6, 51, 25, 15, 7, 5
2023/3/7, 37, 15, 9, 5, 5
2023/3/8, 23, 19, 10, 5, 5
2023/3/9, 28, 19, 10, 4, 5
2023/3/10, 29, 17, 12, 4, 5
2023/3/11, 31, 13, 12, 3, 5
2023/3/12, 30, 35, 10, 4, 5
2023/3/13, 37, 25, 8, 5, 5
2023/3/14, 37, 20, 14, 12, 5
2023/3/15, 37, 23, 14, 13, 5
2023/3/16, 29, 26, 7, 15, 5
2023/3/17, 28, 19, 8, 9, 5
2023/3/18, 29, 29, 15, 8, 5
2023/3/19, 38, 33, 18, 10, 5
2023/3/20, 52, 24, 13, 7, 5
2023/3/21, 45, 27, 16, 5, 5
2023/3/22, 45, 34, 21, 5, 5
2023/3/23, 50, 38, 22, 5, 5
2023/3/24, 64, 42, 21, 6, 5
2023/3/25, 67, 51, 23, 4, 5
2023/3/26, 61, 49, 17, 3, 5
2023/3/27, 56, 36, 23, 5, 5
2023/3/28, 64, 33, 18, 8, 7
2023/3/29, 57, 37, 18, 7, 6
2023/3/30, 45, 46, 22, 8, 7
2023/3/31, 57, 51, 28, 9, 6
2023/4/1, 64, 45, 27, 6, 5
2023/2/13, , 47, 10, 9, 7